,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htns,abstractLabels,abstractLabels_v,abstractLabels_nm,causeLabels,questionLabel,effectLabels,qWord,qPhrase,auxVerb,actionVerb
20,633,21,2,6,320,236,233,initiateCommitment,implyBreakRubble,imply,breakRubble,noticeLocationRubble,suggestLocationRubble,askRequestTeammate,if,ifYou,can,know
21,633,22,2,6,320,226,224,initiateCommitment,implyBreakRubble,imply,breakRubble,informRubbleTeammate,clarifyDestinationRequest,confirmRubbleRequest,do,doYou,do,want
22,633,23,2,6,320,185,180,askInformation,breakLocationRubble,break,rubbleLocation,shareCriticalLocation,askRubbleLocation,answerSelf,did,didYou,did,look
23,633,24,4,6,340,96,93,askInformation,clearAreaCritical,clear,criticalArea,informCriticalRoom,clarifyLocationVictim,confirmLocationVictim,are,areThere,,are
24,633,25,5,6,340,40,38,collaborateVictim,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,requestCarryVictim,carryStabilizedVictim,want,youWant,want,take
25,634,1,0,0,0,975,970,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationRoom,clarifyLocationVictim,shareLocationVictim,what,whatMeeting,nil,have
26,634,2,0,0,0,951,947,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationVictim,clarifyLocationVictim,confirmLocationVictim,can,canYou,can,repeat
27,634,3,0,0,0,947,944,askInformation,collaborateNavigate,collaborate,navigate,shareLocationVictim,clarifyLocationVictim,confirmLocationVictim,what,youSaid,nil,said
28,634,4,0,0,0,918,916,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationVictim,clarifyLocationVictim,answerLocationVictim,were,wereAny,were,cancel
29,634,5,0,0,0,873,871,initiateCommitment,collaborateNavigate,collaborate,navigate,shareCriticalLocation,prioritizeNavigatePlan,confirmCriticalPriority,if,ifYou,are,okay
30,634,6,0,0,0,858,848,initiateCommitment,collaborateCriticalPriority,collaborate,criticalPriority,prioritizeCriticalVictim,requestDestination,informCriticalLocation,can,canYou,can,go
31,634,7,0,0,0,834,831,initiateCommitment,suggestNavigationTeammate,suggest,navigationTeammate,noticeRoomVictim,suggestNavigationTeammate,prioritizeCriticalNavigation,if,ifYou,want,move
32,634,8,0,1,50,791,790,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,clarifyCriticalRoom,confirmCriticalRoom,inflection,inflection,nil,nil
33,634,9,0,1,50,789,788,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,requestDestination,confirmDestination,can,canYou,can,go
34,634,10,0,1,50,787,784,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,confirmDestination,can,canYou,can,come
35,634,11,0,2,100,737,736,initiateCommitment,askPlanStatus,ask,planStatus,prioritizeCarryStatus,askCarryStatus,answerCarryStatus,how,howAre,do,look
36,634,12,0,5,250,675,670,initiateCommitment,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,askClearLocation,prioritizeLocationVictim,how,howAre,do,feeling
37,634,13,1,5,260,663,661,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,clarifyClearLocation,confirmLocationPriority,inflection,inflection,nil,nil
38,634,14,2,5,270,644,642,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,noAnnotatedCause,clarifyLocationTeammate,clarifyLocationTeam,what,whatRoom,nil,are
39,634,15,2,5,270,632,619,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,askLocationVictim,noAnnotatedEffect,did,didYou,did,check
40,634,16,2,5,270,618,617,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,noAnnotatedCause,clarifyQuestion,noAnnotatedEffect,which,whichRoom,nil,nil
41,634,17,2,5,270,614,612,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,askClearLocation,confirmStatusVictim,did,didYou,did,clear
42,634,18,3,5,280,602,590,whatIfQuestion,collaborateStabilizeVictim,collaborate,victimStabilize,blockedCarryVictim,askInformationStabilize,confirmThrowVictim,if,canYou,can,pass
43,634,19,3,5,280,580,576,rescueTeammate,requestRescueTeammate,request,rescueTeammate,announceThreatroomTrapped,requestRescueTeammate,confirmRescueTeammate,inflection,inflection,am,nil
44,634,20,3,5,280,569,562,clarifySomething,collaborateCarryVictim,collaborate,carryVictim,noticeVictim,askStatusVictim,confirmStatusVictim,what,whatKind,nil,was
45,634,21,3,5,280,561,560,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,requestDestination,navigateCriticalWake,can,canYou,can,come
46,634,22,3,5,280,558,555,clarifySomething,collaborateCriticalLocation,collaborate,criticalLocation,noAnnotatedCause,askCriticalLocation,answerCriticalLocation,where,whereWas,nil,was
47,634,23,4,5,290,539,538,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,navigateCriticalLocation,clarifyCriticalRoom,answerCriticalRoom,inflection,inflection,nil,nil
48,634,24,5,6,350,460,457,initiateCommitment,collaborateCritical,collaborate,critical,stabilizedCritical,requestCarryStabilized,confirmCarryStabilized,can,canYou,can,grab
49,634,25,6,8,460,393,391,clarifySomething,collaborateStabilizeVictim,collaborate,victimStabilize,announceRoomVictim,clarifyLocationVictim,confirmRoomVictim,are,youSaid,is,nil
50,634,26,9,8,490,330,328,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,announceCriticalRoom,suggestDestination,confirmCriticalWake,inflection,inflection,nil,nil
51,634,27,10,8,500,314,313,askInformation,collaborateCarryVictim,collaborate,carryVictim,searchTeammate,askLocationTeammate,navigateLocationTeammate,where,whereAre,nil,are
52,634,28,10,9,550,292,288,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,noAnnotatedCause,askCriticalRoom,noAnnotatedEffect,inflection,canSee,can,see
53,634,29,10,9,550,287,284,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,announceCriticalRoom,clarifyCriticalLocation,confirmNavigateRoom,inflection,oneOf,nil,nil
54,634,30,12,9,570,207,203,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,informTeammateTrapped,suggestRescueTeammate,confirmRescueTeammate,inflection,needHelp,need,nil
55,634,31,12,9,570,192,189,clarifySomething,collaborateRescueTeammate,collaborate,rescueTeammate,informTeammateTrapped,clarifyLocationTeammate,confirmRoomTeammate,were,youSaid,nil,said
56,634,32,12,9,570,151,149,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,confirmCarryStabilized,clarifyStatusVictim,confirmStatusVictim,inflection,thisIs,nil,is
57,634,33,13,9,580,136,125,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,clarifyLocationPriority,askClearLocation,confirmLocation,are,areThere,nil,are
58,634,34,14,10,640,100,96,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,clarifyDestinationTeammate,confirmDestinationTeammate,are,areYou,are,get
59,634,35,15,10,650,44,39,initiateCommitment,collaborateCriticalPriority,collaborate,criticalPriority,noticeCriticalRoom,requestBreakRubble,breakRubbleRoom,can,canYou,can,break
60,634,36,15,11,700,10,5,askInformation,collaborateLocationVictim,collaborate,locationVictim,searchRoomVictim,askRoomVictim,answerRoomVictim,are,areYou,are,find
61,635,1,0,0,0,984,978,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,shareKnowledgeUnique,askDestination,answerMarkerNavigate,do,doWe,do,want
62,635,2,0,0,0,924,918,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,askDestination,suggestMarkRoom,confirmMarkRoom,if,ifYou,can,mark
63,635,3,0,0,0,848,846,collaborateCommunication,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,suggestMarker,markStabilized,inflection,thisIs,nil,mark
64,635,4,0,0,0,795,789,initiateCommitment,searchVictim,search,victim,noticeBlockRubble,requestBreakRubble,confirmBreakRubble,if,ifYou,mind,rubble
65,635,5,0,0,0,789,782,initiateCommitment,searchVictim,search,victim,noticeBlockRubble,requestBreakRubble,confirmBreakRubble,if,ifYou,could,clear
66,635,6,0,0,0,696,691,initiateCommitment,directCarryStabilized,direct,carryStabilized,noAnnotatedCause,directCarryStabilized,directMarkStabilized,if,ifYou,mind,grab
67,635,7,0,0,0,682,679,askInformation,collaborateCriticalThreatroom,collaborate,criticalThreatroom,noticeCriticalThreatroom,askInformationRoom,answerInformationRoom,did,didYou,did,have
68,635,8,1,0,10,594,592,askInformation,askInformationRoom,ask,informationRoom,noAnnotatedCause,askInformationRoom,answerInformationRoom,are,areYou,are,find
69,635,9,1,0,10,586,584,askInformation,prioritizeClearLocation,prioritize,clearLocation,noAnnotatedCause,askClearRoom,answerInformationRoom,have,haveYou,do,check
70,635,10,1,0,10,559,562,initiateCommitment,noCollaboration,no,collaboration,noticeTeammateTrapped,requestCollaboration,noCollaboration,can,canTransporter,can,help
71,635,11,1,0,10,560,558,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,noticeTeammateTrapped,clarifyLocation,confirmLocationRoom,can,canYou,can,repeat
72,635,12,1,0,10,535,532,rescueTeammate,collaborateRescueTeammate,collaborate,rescueTeammate,noAnnotatedCause,suggestRescueTeammate,askLocationRoom,inflection,inflection,nil,am
73,635,13,1,0,10,531,528,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,noticeTeammateTrapped,clarifyRoom,confirmLocationRoom,can,canYou,can,repeat
74,635,14,1,0,10,461,459,initiateCommitment,directTeammate,direct,teammate,noticeDestinationTeammate,clarifyLocationTeammate,directTeammate,can,canYou,can,repeat
75,635,15,1,0,10,442,436,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationStabilized,askStabiizedStatus,confirmStabilizedStatus,can,canYou,can,come
76,635,16,2,1,70,358,356,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,askLocationTeammate,answerLocationTeammate,which,whichRoom,nil,are
77,635,17,2,1,70,280,278,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,trappedTeammate,askDestinationTeammate,confirmDestinationTeammate,are,areYou,are,go
78,635,18,2,1,70,271,267,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,noticeDestinationTeammate,requestMarkerStabilized,confirmMarkStabilized,can,canYou,can,leave
79,635,19,2,1,70,241,239,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,confirmDestinationTeammate,will,willSomebody,will,join
80,635,20,3,2,130,157,148,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,confirmDestinationTeammate,may,maySomebody,may,join
81,635,21,3,2,130,129,124,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationStabilized,clarifyStabilizedStatus,confirmNotStatus,are,areThe,are,type
82,635,22,3,2,130,91,87,initiateCommitment,rescueTeammateTrapped,rescue,teammateTrapped,rubbleBlockTeammate,requestRescueTeammate,confirmDestinationRoom,can,canI,can,get
83,635,23,3,2,130,75,72,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,requestStatusVictim,markStabilizedVictim,can,canYou,can,type
84,635,24,4,3,190,18,14,askInformation,askLocationTeammate,ask,locationTeammate,noAnnotatedCause,askLocationTeammate,answerRequestTeammate,what,wantStay,nil,are
85,636,1,0,0,0,966,964,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,suggestNavigationTeam,confirmTeammatePlan,suggestCollaborationTeam,what,whatDo,do,think
86,636,2,0,0,0,886,885,initiateCommitment,collaborateCarryVictim,collaborate,carryVictim,suggestCarryVictim,askTeamCarry,confirmCarryVictim,do,doWe,do,agree
87,636,3,0,0,0,874,872,clarifySomething,cordinatePlanTeam,cordinate,teamPlan,noAnnotatedCause,clarifyNavigationTeammate,noAnnotatedEffect,are,inflection,are,start
88,636,4,1,1,20,750,742,initiateCommitment,collaborateCarryVictim,collaborate,carryVictim,noticeLocationVictim,requestCarryVictim,confirmCarryVictim,do,doYou,do,want
89,636,5,2,1,70,717,712,clarifySomething,collaborateLocation,collaborate,location,announceLocationStabilized,clarifyLocation,confirmLocation,is,isHallway,nil,is
90,636,6,2,2,120,695,688,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noAnnotatedCause,requestDestination,collaborateNavigationTeammate,would,wouldYou,wouldn't,come
91,636,7,2,2,120,685,683,clarifySomething,confirmPlanSelf,confirm,planSelf,noAnnotatedCause,clarifyRequestTeammate,noAnnotatedEffect,correct,youMean,mean,continue
92,636,8,2,2,120,673,668,askInformation,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,askLocationVictim,answerLocationVictim,did,didYou,did,see
93,636,9,2,4,220,565,560,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,confirmDestinationRoom,can,canYou,can,come
94,636,10,3,4,230,507,504,askInformation,collaborateCriticalThreatroom,collaborate,criticalThreatroom,noticeKnowledgeUnique,askLocationThreatroom,confirmRoomVictim,do,doYou,do,have
95,636,11,8,6,380,312,310,initiateCommitment,collaborateNavigationPriority,collaborate,navigationPriority,suggestAvoidThreatroom,askThreatroomPlan,confirmAvoidThreatroom,does,doesAnyone,do,agree
96,636,12,8,6,380,294,291,askInformation,breakGPS,break,gPS,noticeKnowledgeUnique,askThreatroom,noAnswer,do,doYou,do,have
97,636,13,10,6,400,252,250,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationMedic,askInformationTeammate,requestMarkStabilized,are,areYou,nil,are
98,636,14,10,6,400,247,246,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,notice Medic,requestStatusVictim,confirmMarkStabilized,can,canYou,can,type
99,636,15,11,6,410,235,233,initiateCommitment,shareKnowledgeUnique,share,uniqueKnowledge,shareGPSKnowledge,requestInformationRoom,clarifyInformationRequest,can,canYou,can,check
100,636,16,11,6,410,226,224,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,noAnnotatedCause,clarifyRoom,confirmInformationRequest,inflection,youSaid,nil,said
101,636,17,13,6,430,199,196,confirmInformation,collaborateInformationSharing,collaborate,informationSharing,noAnnotatedCause,clarifyInformationRequest,confirmInformationRequest,what,whatYou,were,ask
102,636,18,14,6,440,193,189,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeTeammate,requestCriticalWake,clarifyCriticalRoom,can,canYou,can,help
103,636,19,15,6,450,186,184,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,requestCriticalWake,clarifyCriticalRoom,confirmDestinationRoom,what,whatRoom,nil,is
104,636,20,15,6,450,160,158,initiateCommitment,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,requestMarker,noAnnotatedEffect,can,canYou,can,delete
105,636,21,15,6,450,151,148,askInformation,askInformationRoom,ask,informationRoom,noAnnotatedCause,askInformationRoom,noAnnotatedEffect,do,doYou,do,have
106,636,22,15,6,450,148,146,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,noAnnotatedCause,askInformationLocation,answerInformationRoom,inflection,inflection,nil,nil
107,636,23,15,6,450,135,130,initiateCommitment,collaborateCriticalThreatroom,collaborate,threatroomCritical,noticeThreatroom,requestDestination,confirmRequestTeammate,can,canYou,can,come
108,636,24,15,7,500,89,85,clarifySomething,clearRoomRubble,clear,roomRubble,noAnnotatedCause,clarifyBlockedRoom,clarifyBlockedRoom,can,canYou,can,repeat
109,636,25,15,7,500,33,31,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,carryLocationVictim,requestDestinationStabilized,stabilizeLocationVictim,can,canYou,can,check
110,636,26,15,8,550,23,21,askInformation,askLocationPlan,ask,planLocation,noAnnotatedCause,requestCollaborationRubble,noAnswer,do,doYou,do,have
111,636,27,16,8,560,10,9,askInformation,askKnowledgeUnique,ask,uniqueKnowledge,askDirectionTeammate,askInformationThreatroom,answerInformationRoom,do,doYou,do,have
112,637,1,0,0,0,936,934,clarifySomething,coordinatePlanTeam,coordinate,teamPlan,sharingKnowledgeUnique,clarifyInformationRoom,confirmInformationRoom,correct,youSaid,nil,said
113,637,2,0,0,0,933,932,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,sharingKnowledgeUnique,clarifyInformationRoom,confirmInformationRoom,was,wasThat,nil,was
114,637,3,0,0,0,927,926,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,sharingKnowledgeUnique,clarifyInformationRoom,confirmInformationRoom,then,then,nil,object
115,637,4,0,0,0,884,882,clarifySomething,prioritizeLocationVictim,prioritize,locationVictim,sharingKnowledgeUnique,clarifyLocationVictim,confirmInformationRoom,right,youSaid,nil,said
116,637,5,0,0,0,880,878,clarifySomething,collaborateNavigateTeam,collaborate,teamNavigate,clarifyInformationRoom,clarifyDestinationRoom,noAnnotatedEffect,is,okay,nil,is
117,637,6,0,0,0,838,836,initiateCommitment,collaborateRoomVictim,collaborate,roomVictim,noticeRoomVictim,requestBreakRubble,noAnnotatedEffect,if,ifYou,could,clear
118,637,7,0,0,0,823,821,confirmInformation,clearLocationVictim,clear,locationVictim,collaborateClearVictim,askClearLocation,confirmClearVictim,correct,lookClear,nil,look
119,637,8,0,1,50,808,806,initiateCommitment,clearLocationVictim,clear,locationVictim,collaborateClearVictim,requestRoomSearch,confirmClearVictim,do,doYou,do,want
120,637,9,0,1,50,789,787,clarifySomething,clearLocationVictim,clear,locationVictim,clearRoomVictim,askInformationRoom,answerInformationRoom,is,isStorage,nil,is
121,637,10,1,2,110,708,706,askInformation,clearLocationVictim,clear,locationVictim,noticeCriticalTeammate,askBreakRubble,answerBreakRubbleNo,inflection,anyClear,need,clear
122,637,11,1,2,110,685,683,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,navigate Room,if,ifYou,want,come
123,637,12,2,3,170,647,645,confirmInformation,clearLocationVictim,clear,locationVictim,collaborateClearLocation,confirmClearLocation,confirmClearVictim,inflection,inflection,have,clear
124,637,13,2,3,170,625,623,askInformation,answerSelf,answer,self,noticeRubbleRoom,askCriticalRoom,answerCriticalRoom,is,isThere,nil,is
125,637,14,2,3,170,592,589,clarifySomething,clarifyKnowledgeTeam,clarify,teamKnowledge,noticeStatusVictim,clarifyStatusVictim,confirmStatusVictim,wouldn't,wouldn'tThat,wouldn't,be
126,637,15,3,4,230,539,538,clarifySomething,collaborateCriticalRoom,collaborate,criticalRoom,noticeCriticalRoom,askRoomTeammate,navigate Room,which,whichRoom,nil,are
127,637,16,3,4,230,522,524,clearLocation,clearLocationVictim,clear,locationVictim,clearLocationVictim,requestRoomSearch,confirmNavigateRoom,will,willYou,will,check
128,637,17,3,4,230,516,514,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,markStabilized,requestCarryStabilized,noAnnotatedEffect,if,ifYou,can,grab
129,637,18,3,4,230,512,511,clarifySomething,clearLocationVictim,clear,locationVictim,confirmNavigateRoom,clarifyRoom,confirmClearRoom,inflection,inflection,nil,nil
130,637,19,3,5,280,407,406,clarifySomething,rescueRoomTeammate,rescue,roomTeammate,noticeTeammateThreatroom,askLocationThreatroom,confirmNavigationRoom,which,whichRoom,nil,nil
131,637,20,3,5,280,392,390,clarifySomething,rescueVictim,rescue,victim,noticeCarryTeammate,askStatusVictim,stabilizeVictim,is,isType,are,holding
132,637,21,5,5,300,320,318,clarifySomething,rescueTeammateThreatroom,rescue,teammateThreatroom,confirmNavigationRoom,clarifyTeammateThreatroom,breakRubbleRoom,which,whichRoom,were,stuck
133,637,22,5,5,300,303,303,clarifySomething,rescueVictim,rescue,victim,noticeStatusVictim,clarifyStatusVictim,noticeStatusVictim,inflection,isType,nil,nil
134,637,23,5,5,300,303,301,initiateCommitment,rescueVictim,rescue,victim,noticeStatusVictim,requestVictimStabilize,carryStabilized,could,couldYou,could,stabilize
135,637,24,5,5,300,290,287,clarifySomething,clearLocationVictim,clear,locationVictim,announceClearLocation,clarifyLocation,confirmClearRoom,which,whichArea,am,look
136,637,25,6,5,310,277,275,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestinatiion,confirmNavigateRoom,could,couldYou,could,come
137,637,26,6,5,310,272,271,askInformation,answeringSelf,answering,self,trappedThreatroom,askLocationThreatroom,answerThreatroom,is,isThis,nil,is
138,637,27,6,5,310,259,257,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,stabilizeThrowVictim,requestCarryDrop,informStabilizedStatus,if,ifYou,can,take
139,637,28,6,5,310,254,253,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,confirmStabilizedStatus,carryStabilized,inflection,inflection,nil,nil
140,637,29,7,5,320,217,215,initiateCommitment,collaborateLocationStabilized,collaborate,stabilizedLocation,announceLocationVictim,requestVictimStabilize,stabilizeLocationVictim,if,ifYou,can,heal
141,637,30,9,5,340,164,161,initiateCommitment,clearLocationVictim,clear,locationVictim,noticeRoomTeammate,requestBreakRubble,answerClearRoom,could,couldYou,could,empty
142,637,31,9,6,390,155,153,clarifySomething,clearLocationVictim,clear,locationVictim,answerClearRoom,clarifyClearRoom,confirmClearRoom,was,wasThat,nil,were
143,637,32,9,6,390,124,121,clarifySomething,clearLocationVictim,clear,locationVictim,collaborateClearLocation,clarifyClearLocation,confirmClearLocation,right,clearedOut,nil,clear
144,637,33,11,7,460,74,71,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,notwakeCritical,clarifyRoleCapabilities,confirmRole,when,whenWere,has,be
145,637,34,11,9,560,34,32,askInformation,collaborateCriticalRoom,collaborate,criticalRoom,noticeCriticalRoom,askCriticalRoom,clarifyCriticalRoom,did,didYou,did,check
146,637,35,11,10,610,23,21,clarifySomething,collaborateCriticalRoom,collaborate,criticalRoom,noticeCriticalRoom,clarifyCriticalRoom,clarifyCriticalRoom,inflection,youSaid,are,say
147,638,1,0,0,0,1005,1003,askInformation,coordinatePlanTeam,coordinate,teamPlan,shareKnowledgeUnique,collaborateInformationUnique,answerKnowledgeUnique,do,doThose,do,match
148,638,2,0,0,0,953,950,clarifySomething,coordinatePlanTeam,coordinate,teamPlan,shareKnowledgeUnique,clarifyInformationLocation,answerKnowledgeUnique,were,youSaid,said,nil
149,638,3,0,0,0,934,931,clarifySomething,coordinatePlanTeam,coordinate,teamPlan,shareKnowledgeUnique,clarifyNavigationTeammate,confirmNavigateTeam,then,thenClear,begin,clear
150,638,4,0,0,0,911,909,clarifySomething,clarifyKnowledgeUnique,clarify,uniqueKnowledge,clarifyPlanTeam,clarifyInformationRoom,answerKnowledgeUnique,are,onlyOne,are,nil
151,638,5,0,0,0,834,832,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noticeRoomStabilized,clarifyStabilizedStatus,carryStabilized,inflection,areCritical,nil,are
152,638,6,0,0,0,829,827,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,noticeRoomStabilized,requestCarryStabilized,confirmCarryStabilized,if,ifYou,want,put
153,638,7,0,1,50,815,811,initiateCommitment,collaborateRoomThreat,collaborate,threatRoom,noticeThreatroom,requestBreakrRubble,confirmBreakRubble,if,ifYou,want,come
154,638,8,3,4,230,748,746,clarifySomething,collaborateCriticalRoom,collaborate,criticalRoom,noticeCriticalTeammate,clarifyCriticalRoom,confirmCriticalRoom,which,whichRoom,did,say
155,638,9,3,4,230,731,729,clarifySomething,collaborateCriticalRoom,collaborate,criticalRoom,confirmCriticalRoom,clarifyThreatroom,confirmThreatroom,was,youSaid,nil,said
156,638,10,3,4,230,706,701,initiateCommitment,requestCriticalWake,request,criticalWake,noticeCriticalRoom,requestDestination,confirmDestinationRoom,inflection,helpMe,need,help
157,638,11,3,4,230,691,689,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,requestRoomTeammate,askStabilizedStatus,confirmDestinationRoom,which,whichOne,nil,is
158,638,12,3,4,230,681,683,askInformation,collaborateCriticalWake,collaborate,criticalWake,requestRoomTeammate,askClearNavigate,confirmDestinationRoom,is,isZone,nil,is
159,638,13,4,4,240,637,634,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,noticeMarker,clarifyMarker,answerMarkerStabilized,what,whatIs,slang,slang
