,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htn,abstractLabel,causeLabel,questionLabel,effectLabel,qWord,qPhrase,auxVerb,actionVerb
51,634,27,10,8,500,314,313,askInformation,collaborateCarryVictim,searchTeammate,askLocationTeammate,navigateLocationTeammate,where,whereAre,nil,are
52,634,28,10,9,550,292,288,clarifySomething,collaborateCriticalWake,noAnnotatedCause,askCriticalRoom,noAnnotatedEffect,inflection,canSee,can,see
53,634,29,10,9,550,287,284,clarifySomething,collaborateCriticalWake,announceCriticalRoom,clarifyCriticalLocation,confirmRoomNavigate,inflection,oneOf,nil,nil
54,634,30,12,9,570,207,203,initiateCommitment,collaborateRescueTeammate,informTeammateTrapped,suggestRescueTeammate,confirmRescueTeammate,inflection,needHelp,need,nil
55,634,31,12,9,570,192,189,clarifySomething,collaborateRescueTeammate,informTeammateTrapped,clarifyLocationTeammate,confirmRoomTeammate,were,youSaid,nil,said
56,634,32,12,9,570,151,149,clarifySomething,collaborateCarryStabilized,confirmCarryStabilized,clarifyStatusVictim,confirmStatusVictim,inflection,thisIs,nil,is
57,634,33,13,9,580,136,125,askInformation,prioritizeCriticalLocation,clarifyLocationPriority,askClearLocation,confirmLocation,are,areThere,nil,are
58,634,34,14,10,640,100,96,askInformation,prioritizeCriticalLocation,prioritizeCriticalLocation,clarifyDestinationTeammate,confirmDestinationTeammate,are,areYou,are,get
59,634,35,15,10,650,44,39,initiateCommitment,collaborateCriticalPriority,noticeCriticalRoom,requestBreakRubble,breakRubbleRoom,can,canYou,can,break
60,634,36,15,11,700,10,5,askInformation,collaborateLocationVictim,searchRoomVictim,askRoomVictim,answerRoomVictim,are,areYou,are,find
61,635,1,0,0,0,984,978,initiateCommitment,coordinateTeamPlan,shareUniqueKnowledge,askDestination,answerNavigateMarker,do,doWe,do,want
62,635,2,0,0,0,924,918,initiateCommitment,coordinateTeamPlan,askDestination,suggestMarkRoom,confirmMarkRoom,if,ifYou,can,mark
63,635,3,0,0,0,848,846,collaborateCommunication,collaborateCarryStabilized,carryStabilizedVictim,suggestMarker,markStabilized,inflection,thisIs,nil,mark
64,635,4,0,0,0,795,789,initiateCommitment,searchVictim,noticeBlockRubble,requestBreakRubble,confirmBreakRubble,if,ifYou,mind,rubble
65,635,5,0,0,0,789,782,initiateCommitment,searchVictim,noticeBlockRubble,requestBreakRubble,confirmBreakRubble,if,ifYou,could,clear
66,635,6,0,0,0,696,691,initiateCommitment,directCarryStabilized,noAnnotatedCause,directCarryStabilized,directStabilizedMark,if,ifYou,mind,grab
67,635,7,0,0,0,682,679,askInformation,collaborateCriticalThreatroom,noticeCriticalThreatroom,askInformationRoom,answerInformationRoom,did,didYou,did,have
68,635,8,1,0,10,594,592,askInformation,askInformationRoom,noAnnotatedCause,askInformationRoom,answerInformationRoom,are,areYou,are,find
69,635,9,1,0,10,586,584,askInformation,prioritizeClearLocation,noAnnotatedCause,askClearRoom,answerInformationRoom,have,haveYou,do,check
70,635,10,1,0,10,559,562,initiateCommitment,noCollaboration,noticeTeammateTrapped,requestCollaboration,noCollaboration,can,canTransporter,can,help
71,635,11,1,0,10,560,558,initiateCommitment,collaborateRescueTeammate,noticeTeammateTrapped,clarifyLocation,confirmLocationRoom,can,canYou,can,repeat
72,635,12,1,0,10,535,532,rescueTeammate,collaborateRescueTeammate,noAnnotatedCause,suggestRescueTeammate,askLocationRoom,inflection,inflection,nil,am
73,635,13,1,0,10,531,528,initiateCommitment,collaborateRescueTeammate,noticeTeammateTrapped,clarifyRoom,confirmLocationRoom,can,canYou,can,repeat
74,635,14,1,0,10,461,459,initiateCommitment,directTeammate,noticeDestinationTeammate,clarifyLocationTeammate,directTeammate,can,canYou,can,repeat
75,635,15,1,0,10,442,436,initiateCommitment,collaborateCarryStabilized,noticeStabilizedLocation,askStabiizedStatus,confirmStabilizedStatus,can,canYou,can,come
76,635,16,2,1,70,358,356,clarifySomething,collaborateCarryStabilized,noAnnotatedCause,askLocationTeammate,answerLocationTeammate,which,whichRoom,nil,are
77,635,17,2,1,70,280,278,askInformation,collaborateCarryStabilized,trappedTeammate,askDestinationTeammate,confirmDestinationTeammate,are,areYou,are,go
78,635,18,2,1,70,271,267,initiateCommitment,collaborateCarryStabilized,noticeDestinationTeammate,requestMarkerStabilized,confirmStabilizedMark,can,canYou,can,leave
79,635,19,2,1,70,241,239,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestination,confirmDestinationTeammate,will,willSomebody,will,join
80,635,20,3,2,130,157,148,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestination,confirmDestinationTeammate,may,maySomebody,may,join
81,635,21,3,2,130,129,124,askInformation,collaborateCarryStabilized,noticeStabilizedLocation,clarifyStabilizedStatus,confirmNotStatus,are,areThe,are,type
82,635,22,3,2,130,91,87,initiateCommitment,rescueTeammateTrapped,rubbleTeammateBlock,requestRescueTeammate,confirmDestinationRoom,can,canI,can,get
83,635,23,3,2,130,75,72,initiateCommitment,collaborateCarryStabilized,carryStabilizedVictim,requestStatusVictim,markStabilizedVictim,can,canYou,can,type
84,635,24,4,3,190,18,14,askInformation,askLocationTeammate,noAnnotatedCause,askLocationTeammate,answerRequestTeammate,what,wantStay,nil,are
85,636,1,0,0,0,966,964,initiateCommitment,coordinateTeamPlan,suggestTeamNavigation,confirmTeammatePlan,suggestTeamCollaboration,what,whatDo,do,think
86,636,2,0,0,0,886,885,initiateCommitment,collaborateCarryVictim,suggestCarryVictim,askTeamCarry,confirmCarryVictim,do,doWe,do,agree
87,636,3,0,0,0,874,872,clarifySomething,cordinateTeamPlan,noAnnotatedCause,clarifyNavigationTeammate,noAnnotatedEffect,are,inflection,are,start
88,636,4,1,1,20,750,742,initiateCommitment,collaborateCarryVictim,noticeLocationVictim,requestCarryVictim,confirmCarryVictim,do,doYou,do,want
89,636,5,2,1,70,717,712,clarifySomething,collaborateLocation,announceStabilizedLocation,clarifyLocation,confirmLocation,is,isHallway,nil,is
90,636,6,2,2,120,695,688,initiateCommitment,collaborateCriticalWake,noAnnotatedCause,requestDestination,collaborateNavigationTeammate,would,wouldYou,wouldn't,come
91,636,7,2,2,120,685,683,clarifySomething,confirmPlanSelf,noAnnotatedCause,clarifyRequestTeammate,noAnnotatedEffect,correct,youMean,mean,continue
92,636,8,2,2,120,673,668,askInformation,collaborateLocationVictim,noAnnotatedCause,askLocationVictim,answerLocationVictim,did,didYou,did,see
93,636,9,2,4,220,565,560,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestination,confirmDestinationRoom,can,canYou,can,come
94,636,10,3,4,230,507,504,askInformation,collaborateCriticalThreatroom,noticeUniqueKnowledge,askLocationThreatroom,confirmRoomVictim,do,doYou,do,have
95,636,11,8,6,380,312,310,initiateCommitment,collaborateNavigationPriority,suggestThreatroomAvoid,askThreatroomPlan,confirmThreatroomAvoid,does,doesAnyone,do,agree
96,636,12,8,6,380,294,291,askInformation,breakGPS,noticeUniqueKnowledge,askThreatroom,noAnswer,do,doYou,do,have
97,636,13,10,6,400,252,250,askInformation,collaborateCarryStabilized,noticeMedicLocation,askInformationTeammate,requestStabilizedMark,are,areYou,nil,are
98,636,14,10,6,400,247,246,initiateCommitment,collaborateCarryStabilized,noticeMedic ,requestStatusVictim,confirmStabilizedMark,can,canYou,can,type
99,636,15,11,6,410,235,233,initiateCommitment,shareUniqueKnowledge,shareGPSKnowledge,requestInformationRoom,clarifyInformationRequest,can,canYou,can,check
100,636,16,11,6,410,226,224,clarifySomething,shareUniqueKnowledge,noAnnotatedCause,clarifyRoom,confirmInformationRequest,inflection,youSaid,nil,said
101,636,17,13,6,430,199,196,confirmInformation,collaborateInformationSharing,noAnnotatedCause,clarifyInformationRequest,confirmInformationRequest,what,whatYou,were,ask
102,636,18,14,6,440,193,189,initiateCommitment,collaborateCriticalWake,noticeTeammate,requestCriticalWake,clarifyCriticalRoom,can,canYou,can,help
103,636,19,15,6,450,186,184,clarifySomething,collaborateCriticalWake,requestCriticalWake,clarifyCriticalRoom,confirmDestinationRoom,what,whatRoom,nil,is
104,636,20,15,6,450,160,158,initiateCommitment,collaborateLocationVictim,noAnnotatedCause,requestMarker,noAnnotatedEffect,can,canYou,can,delete
105,636,21,15,6,450,151,148,askInformation,askInformationRoom,noAnnotatedCause,askInformationRoom,noAnnotatedEffect,do,doYou,do,have
106,636,22,15,6,450,148,146,clarifySomething,shareUniqueKnowledge,noAnnotatedCause,askInformationLocation,answerInformationRoom,inflection,inflection,nil,nil
107,636,23,15,6,450,135,130,initiateCommitment,collaborateThreatroomCritical,noticeThreatroom,requestDestination,confirmRequestTeammate,can,canYou,can,come
108,636,24,15,7,500,89,85,clarifySomething,clearRoomRubble,noAnnotatedCause,clarifyBlockedRoom,clarifyRoomBlocked,can,canYou,can,repeat
109,636,25,15,7,500,33,31,initiateCommitment,collaborateCarryStabilized,carryLocationVictim,requestDestinationStabilized,stabilizeLocationVictim,can,canYou,can,check
110,636,26,15,8,550,23,21,askInformation,askPlanLocation,noAnnotatedCause,requestCollaborationRubble,noAnswer,do,doYou,do,have
111,636,27,16,8,560,10,9,askInformation,askUniqueKnowledge,askTeammateDirection,askInformationThreatroom,answerInformationRoom,do,doYou,do,have
112,637,1,0,0,0,936,934,clarifySomething,coordinateTeamPlan,sharingUniqueKnowledge,clarifyInformationRoom,confirmInformationRoom,correct,youSaid,nil,said
113,637,2,0,0,0,933,932,clarifySomething,shareUniqueKnowledge,sharingUniqueKnowledge,clarifyInformationRoom,confirmInformationRoom,was,wasThat,nil,was
114,637,3,0,0,0,927,926,clarifySomething,shareUniqueKnowledge,sharingUniqueKnowledge,clarifyInformationRoom,confirmInformationRoom,then,then,nil,object
115,637,4,0,0,0,884,882,clarifySomething,prioritizeLocationVictim,sharingUniqueKnowledge,clarifyLocationVictim,confirmInformationRoom,right,youSaid,nil,said
116,637,5,0,0,0,880,878,clarifySomething,collaborateTeamNavigate,clarifyInformationRoom,clarifyDestinationRoom,noAnnotatedEffect,is,okay,nil,is
117,637,6,0,0,0,838,836,initiateCommitment,collaborateRoomVictim,noticeRoomVictim,requestBreakRubble,noAnnotatedEffect,if,ifYou,could,clear
118,637,7,0,0,0,823,821,confirmInformation,clearLocationVictim,collaborateVictimClear,askClearLocation,confirmVictimClear,correct,lookClear,nil,look
119,637,8,0,1,50,808,806,initiateCommitment,clearLocationVictim,collaborateVictimClear,requestRoomSearch,confirmVictimClear,do,doYou,do,want
120,637,9,0,1,50,789,787,clarifySomething,clearLocationVictim,clearRoomVictim,askInformationRoom,answerInformationRoom,is,isStorage,nil,is
121,637,10,1,2,110,708,706,askInformation,clearLocationVictim,noticeTeammateCritical,askBreakRubble,answerNoBreakRubble,inflection,anyClear,need,clear
122,637,11,1,2,110,685,683,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestination,navigateRoom ,if,ifYou,want,come
123,637,12,2,3,170,647,645,confirmInformation,clearLocationVictim,collaborateClearLocation,confirmClearLocation,confirmVictimClear,inflection,inflection,have,clear
124,637,13,2,3,170,625,623,askInformation,answerSelf,noticeRubbleRoom,askCriticalRoom,answerCriticalRoom,is,isThere,nil,is
125,637,14,2,3,170,592,589,clarifySomething,clarifyTeamKnowledge,noticeStatusVictim,clarifyStatusVictim,confirmStatusVictim,wouldn't,wouldn'tThat,wouldn't,be
126,637,15,3,4,230,539,538,clarifySomething,collaborateCriticalRoom,noticeCriticalRoom,askRoomTeammate,navigateRoom ,which,whichRoom,nil,are
127,637,16,3,4,230,522,524,clearLocation,clearLocationVictim,clearLocationVictim,requestRoomSearch,confirmRoomNavigate,will,willYou,will,check
128,637,17,3,4,230,516,514,initiateCommitment,collaborateCarryStabilized,markStabilized,requestCarryStabilized,noAnnotatedEffect,if,ifYou,can,grab
129,637,18,3,4,230,512,511,clarifySomething,clearLocationVictim,confirmRoomNavigate,clarifyRoom,confirmClearRoom,inflection,inflection,nil,nil
130,637,19,3,5,280,407,406,clarifySomething,rescueRoomTeammate,noticeTeammateThreatroom,askLocationThreatroom,confirmRoomNavigation,which,whichRoom,nil,nil
131,637,20,3,5,280,392,390,clarifySomething,rescueVictim,noticeTeammateCarry,askStatusVictim,stabilizeVictim,is,isType,are,holding
132,637,21,5,5,300,320,318,clarifySomething,rescueTeammateThreatroom,confirmRoomNavigation,clarifyTeammateThreatroom,breakRubbleRoom,which,whichRoom,were,stuck
133,637,22,5,5,300,303,303,clarifySomething,rescueVictim,noticeStatusVictim,clarifyStatusVictim,noticeStatusVictim,inflection,isType,nil,nil
134,637,23,5,5,300,303,301,initiateCommitment,rescueVictim,noticeStatusVictim,requestVictimStabilize,carryStabilized,could,couldYou,could,stabilize
135,637,24,5,5,300,290,287,clarifySomething,clearLocationVictim,announceClearLocation,clarifyLocation,confirmClearRoom,which,whichArea,am,look
136,637,25,6,5,310,277,275,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestinatiion,confirmRoomNavigate,could,couldYou,could,come
137,637,26,6,5,310,272,271,askInformation,answeringSelf,trappedThreatroom,askLocationThreatroom,answerThreatroom,is,isThis,nil,is
138,637,27,6,5,310,259,257,initiateCommitment,collaborateCarryStabilized,stabilizeVictimThrow,requestCarryDrop,informStabilizedStatus,if,ifYou,can,take
139,637,28,6,5,310,254,253,clarifySomething,collaborateCarryStabilized,noAnnotatedCause,confirmStabilizedStatus,carryStabilized,inflection,inflection,nil,nil
140,637,29,7,5,320,217,215,initiateCommitment,collaborateStabilizedLocation,announceLocationVictim,requestVictimStabilize,stabilizeLocationVictim,if,ifYou,can,heal
141,637,30,9,5,340,164,161,initiateCommitment,clearLocationVictim,noticeRoomTeammate,requestBreakRubble,answerClearRoom,could,couldYou,could,empty
142,637,31,9,6,390,155,153,clarifySomething,clearLocationVictim,answerClearRoom,clarifyClearRoom,confirmClearRoom,was,wasThat,nil,were
143,637,32,9,6,390,124,121,clarifySomething,clearLocationVictim,collaborateClearLocation,clarifyClearLocation,confirmClearLocation,right,clearedOut,nil,clear
144,637,33,11,7,460,74,71,clarifySomething,collaborateCriticalWake,notwakeCritical,clarifyRoleCapabilities,confirmRole,when,whenWere,has,be
145,637,34,11,9,560,34,32,askInformation,collaborateCriticalRoom,noticeCriticalRoom,askCriticalRoom,clarifyCriticalRoom,did,didYou,did,check
146,637,35,11,10,610,23,21,clarifySomething,collaborateCriticalRoom,noticeCriticalRoom,clarifyCriticalRoom,clarifyCriticalRoom,inflection,youSaid,are,say
147,638,1,0,0,0,1005,1003,askInformation,coordinateTeamPlan,shareUniqueKnowledge,collaborateInformationUnique,answerUniqueKnowledge,do,doThose,do,match
148,638,2,0,0,0,953,950,clarifySomething,coordinateTeamPlan,shareUniqueKnowledge,clarifyInformationLocation,answerUniqueKnowledge,were,youSaid,said,nil
149,638,3,0,0,0,934,931,clarifySomething,coordinateTeamPlan,shareUniqueKnowledge,clarifyNavigationTeammate,confirmTeamNavigate,then,thenClear,begin,clear
150,638,4,0,0,0,911,909,clarifySomething,clarifyUniqueKnowledge,clarifyTeamPlan,clarifyInformationRoom,answerUniqueKnowledge,are,onlyOne,are,nil
151,638,5,0,0,0,834,832,clarifySomething,collaborateCarryStabilized,noticeStabilizedRoom,clarifyStabilizedStatus,carryStabilized,inflection,areCritical,nil,are
152,638,6,0,0,0,829,827,initiateCommitment,collaborateCarryStabilized,noticeStabilizedRoom,requestCarryStabilized,confirmCarryStabilized,if,ifYou,want,put
153,638,7,0,1,50,815,811,initiateCommitment,collaborateThreatRoom,noticeThreatroom,requestBreakrRubble,confirmBreakRubble,if,ifYou,want,come
154,638,8,3,4,230,748,746,clarifySomething,collaborateCriticalRoom,noticeTeammateCritical,clarifyCriticalRoom,confirmCriticalRoom,which,whichRoom,did,say
155,638,9,3,4,230,731,729,clarifySomething,collaborateCriticalRoom,confirmCriticalRoom,clarifyThreatroom,confirmThreatroom,was,youSaid,nil,said
156,638,10,3,4,230,706,701,initiateCommitment,requestCriticalWake,noticeCriticalRoom,requestDestination,confirmDestinationRoom,inflection,helpMe,need,help
157,638,11,3,4,230,691,689,clarifySomething,collaborateCriticalWake,requestRoomTeammate,askStabilizedStatus,confirmDestinationRoom,which,whichOne,nil,is
158,638,12,3,4,230,681,683,askInformation,collaborateCriticalWake,requestRoomTeammate,askClearNavigate,confirmDestinationRoom,is,isZone,nil,is
159,638,13,4,4,240,637,634,clarifySomething,shareUniqueKnowledge,noticeMarker,clarifyMarker,answerStabilizedMarker,what,whatIs,slang,slang
160,638,14,4,5,290,623,621,askInformation,prioritizeClearLocation,noAnnotatedCause,clarifyClearRoom,answerClearLocation,have,haveWe,do,clear
161,638,15,4,5,290,617,615,clarifySomething,collaborateCarryStabilized,carryStabilized,clarifyStabilizedStatus,confirmStabilizedStatus,is,isOne,nil,is
162,638,16,5,6,350,570,568,askInformation,prioritizeClearLocation,prioritizeClearLocation,clarifyClearRoom,answerMarkRoomer,did,didYou,did,check
163,638,17,6,6,360,560,557,initiateCommitment,collaborateCriticalWake,noticeLocationTeammate,requestDestination,navigateDestinationTeammate,want,wantTo,want,come
164,638,18,7,6,370,526,524,askInformation,prioritizeClearLocation,prioritizeClearLocation,askLocationMarker,confirmClearRoom,did,didIt,did,look
165,638,19,7,6,370,521,517,initiateCommitment,coordinateTeamPlan,prioritizeClearLocation,askLocationPlan,answerLocationPriority,do,doWe,do,want
166,638,20,7,7,420,498,497,initiateCommitment,askSelf,noticeCriticalRoom,askCriticalWake,answerCriticalWake,do,doYou,do,want
167,638,21,7,7,420,485,483,clarifySomething,collaborateCarryStabilized,noticeStabilizedRoom,confirmStabilizedStatus,carryStabilized,inflection,thatIs,nil,is
168,638,22,10,8,500,459,455,clarifySomething,askTeamPlan,prioritizeClearLocation,askLocationPlan,answerClearLocation,right,sinceWe,are,go
169,638,23,10,8,500,452,450,askInformation,collaborateClearLocation,clearLocation,clarifyInformationLocation,answerInformationRoom,what,whatWas,nil,was
170,638,24,10,8,500,419,417,askInformation,askInformationLocation,noticeRoom,askInformationRoom,answerRoom,are,areAll,nil,are
171,638,25,10,8,500,411,409,clearLocation,clearRoom,noticeClearRoom,requestRoomSearch,navigateDestinationTeammate,do,doYou,do,want
172,638,26,10,9,550,374,371,clarifySomething,askInformationLocation,noticeRoom,askInformationRoom,answerRoom,what,whatIs,nil,is
173,638,27,10,10,600,340,329,clarifySomething,collaborateClearLocation,suggestDestinationTeammate,clarifyDestination,confirmDestination,inflection,inflection,nil,nil
174,638,28,11,10,610,307,305,askInformation,collaborateCriticalWake,announceCriticalRoom,askLocationTeammate,answerLocationTeammate,where,whereDid,did,go
175,638,29,11,10,610,282,280,clarifySomething,collaborateClearRoom,announceCriticalWake,askRoomTeammate,confirmClearRoom,which,whichRoom,nil,are
176,638,30,11,10,610,276,275,clarifySomething,collaborateClearRoom,announceCriticalWake,clarifyLocationTeammate,confirmClearRoom,inflection,inflection,nil,nil
177,638,31,11,10,610,275,273,clarifySomething,collaborateClearRoom,announceCriticalWake,clarifyClearRoom,confirmClearRoom,then,thenClear,got,clear
178,638,32,11,11,660,257,255,collaborateVictim,collaborateCarryStabilized,stabilizeVictim,requestCarryStabilized,confirmCarryStabilized,want,wantGrab,want,grab
179,638,33,11,11,660,241,240,clarifySomething,collaborateCarryStabilized,confirmCarryStabilized,clarifyStabilizedStatus,confirmStabilizedStatus,what,whatType,nil,is
180,638,34,12,12,720,206,203,askInformation,collaborateClearLocation,confirmClearLocation,askClearRoom,answerClearLocation,did,didWe,did,check
181,638,35,12,12,720,179,179,clarifySomething,prioritizeCriticalVictim,prioritizeCriticalVictim,clarifyCriticalRoom,clarifyCriticalRoom,which,whichRoom,nil,nil
182,638,36,13,12,7,119,115,initiateCommitment,prioritizeCriticalVictim,prioritizeCriticalRoom,suggestRoomTeammate,clarifyRoom,if,ifYou,want,wait
183,638,37,14,12,740,109,107,clarifySomething,prioritizeCriticalVictim,prioritizeCriticalRoom,clarifyCriticalRoom,confirmCriticalRoom,what,whatRoom,did,say
