,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htns,abstractLabels,abstractLabels_v,abstractLabels_nm,causeLabels,questionLabels,questionLabels_v,questionLabels_nm,effectLabels,qWord,qPhrase,auxVerb,actionVerb
18,633,19,2,6,320,289,284,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,noticeKnowledgeUnique,askKnowledgeUnique,ask,uniqueKnowledge,answerKnowledgeUnique,who,WhoIs,can,tell
19,633,20,2,6,320,263,261,askInformation,clarifyRequestTeammate,clarify,requestTeammate,requestKnowledgeUnique,askInformationVictim,ask,informationVictim,confirmKnowledgeUnique,do,doYou,do,need
20,633,21,2,6,320,236,233,initiateCommitment,implyBreakRubble,imply,breakRubble,noticeLocationRubble,suggestLocationRubble,suggest,locationRubble,askRequestTeammate,if,ifYou,can,know
21,633,22,2,6,320,226,224,initiateCommitment,implyBreakRubble,imply,breakRubble,informRubbleTeammate,clarifyDestinationRequest,clarify,destinationRequest,confirmRubbleRequest,do,doYou,do,want
22,633,23,2,6,320,185,180,askInformation,breakLocationRubble,break,rubbleLocation,shareCriticalLocation,askLocationRubble,ask,rubbleLocation,answerSelf,did,didYou,did,look
23,633,24,4,6,340,96,93,askInformation,clearAreaCritical,clear,criticalArea,informCriticalRoom,clarifyLocationVictim,clarify,locationVictim,confirmLocationVictim,are,areThere,,are
24,633,25,5,6,340,40,38,collaborateVictim,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,requestCarryVictim,request,carryVictim,carryStabilizedVictim,want,youWant,want,take
25,634,1,0,0,0,975,970,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationRoom,clarifyLocationVictim,clarify,locationVictim,shareLocationVictim,what,whatMeeting,nil,have
26,634,2,0,0,0,951,947,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationVictim,clarifyLocationVictim,clarify,locationVictim,confirmLocationVictim,can,canYou,can,repeat
27,634,3,0,0,0,947,944,askInformation,collaborateNavigate,collaborate,navigate,shareLocationVictim,clarifyLocationVictim,clarify,locationVictim,confirmLocationVictim,what,youSaid,nil,said
28,634,4,0,0,0,918,916,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,shareLocationVictim,clarifyLocationVictim,clarify,locationVictim,answerLocationVictim,were,wereAny,were,cancel
29,634,5,0,0,0,873,871,initiateCommitment,collaborateNavigate,collaborate,navigate,shareCriticalLocation,prioritizeNavigatePlan,prioritize,navigatePlan,confirmCriticalPriority,if,ifYou,are,okay
30,634,6,0,0,0,858,848,initiateCommitment,collaborateCriticalPriority,collaborate,criticalPriority,prioritizeCriticalVictim,requestDestination,request,destination,informCriticalLocation,can,canYou,can,go
31,634,7,0,0,0,834,831,initiateCommitment,suggestNavigationTeammate,suggest,navigationTeammate,noticeRoomVictim,suggestNavigationTeammate,suggest,navigationTeammate,prioritizeCriticalNavigation,if,ifYou,want,move
32,634,8,0,1,50,791,790,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,clarifyCriticalRoom,clarify,criticalRoom,confirmCriticalRoom,inflection,inflection,nil,nil
33,634,9,0,1,50,789,788,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,requestDestination,request,destination,confirmDestination,can,canYou,can,go
34,634,10,0,1,50,787,784,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,request,destination,confirmDestination,can,canYou,can,come
35,634,11,0,2,100,737,736,initiateCommitment,askPlanStatus,ask,planStatus,prioritizeCarryStatus,askCarryStatus,ask,carryStatus,answerCarryStatus,how,howAre,do,look
36,634,12,0,5,250,675,670,initiateCommitment,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,askClearLocation,ask,clearLocation,prioritizeLocationVictim,how,howAre,do,feeling
37,634,13,1,5,260,663,661,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,clarifyClearLocation,clarify,clearLocation,confirmLocationPriority,inflection,inflection,nil,nil
38,634,14,2,5,270,644,642,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,noAnnotatedCause,clarifyLocationTeammate,clarify,locationTeammate,clarifyLocationTeam,what,whatRoom,nil,are
39,634,15,2,5,270,632,619,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,askLocationVictim,ask,locationVictim,noAnnotatedEffect,did,didYou,did,check
40,634,16,2,5,270,618,617,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,noAnnotatedCause,clarifyQuestion,clarify,question,noAnnotatedEffect,which,whichRoom,nil,nil
41,634,17,2,5,270,614,612,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,askClearLocation,ask,clearLocation,confirmStatusVictim,did,didYou,did,clear
42,634,18,3,5,280,602,590,whatIfQuestion,collaborateStabilizeVictim,collaborate,victimStabilize,blockedCarryVictim,askInformationStabilize,ask,informationStabilize,confirmThrowVictim,if,canYou,can,pass
43,634,19,3,5,280,580,576,rescueTeammate,requestRescueTeammate,request,rescueTeammate,announceThreatroomTrapped,requestRescueTeammate,request,rescueTeammate,confirmRescueTeammate,inflection,inflection,am,nil
44,634,20,3,5,280,569,562,clarifySomething,collaborateCarryVictim,collaborate,carryVictim,noticeVictim,askStatusVictim,ask,statusVictim,confirmStatusVictim,what,whatKind,nil,was
45,634,21,3,5,280,561,560,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCritical,requestDestination,request,destination,navigateCriticalWake,can,canYou,can,come
46,634,22,3,5,280,558,555,clarifySomething,collaborateCriticalLocation,collaborate,criticalLocation,noAnnotatedCause,askCriticalLocation,ask,criticalLocation,answerCriticalLocation,where,whereWas,nil,was
47,634,23,4,5,290,539,538,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,navigateCriticalLocation,clarifyCriticalRoom,clarify,criticalRoom,answerCriticalRoom,inflection,inflection,nil,nil
48,634,24,5,6,350,460,457,initiateCommitment,collaborateCritical,collaborate,critical,stabilizedCritical,requestCarryStabilized,request,carryStabilized,confirmCarryStabilized,can,canYou,can,grab
49,634,25,6,8,460,393,391,clarifySomething,collaborateStabilizeVictim,collaborate,victimStabilize,announceRoomVictim,clarifyLocationVictim,clarify,locationVictim,confirmRoomVictim,are,youSaid,is,nil
50,634,26,9,8,490,330,328,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,announceCriticalRoom,suggestDestination,suggest,destination,confirmCriticalWake,inflection,inflection,nil,nil
51,634,27,10,8,500,314,313,askInformation,collaborateCarryVictim,collaborate,carryVictim,searchTeammate,askLocationTeammate,ask,locationTeammate,navigateLocationTeammate,where,whereAre,nil,are
52,634,28,10,9,550,292,288,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,noAnnotatedCause,askCriticalRoom,ask,criticalRoom,noAnnotatedEffect,inflection,canSee,can,see
53,634,29,10,9,550,287,284,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,announceCriticalRoom,clarifyCriticalLocation,clarify,criticalLocation,confirmNavigateRoom,inflection,oneOf,nil,nil
54,634,30,12,9,570,207,203,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,informTeammateTrapped,suggestRescueTeammate,suggest,rescueTeammate,confirmRescueTeammate,inflection,needHelp,need,nil
55,634,31,12,9,570,192,189,clarifySomething,collaborateRescueTeammate,collaborate,rescueTeammate,informTeammateTrapped,clarifyLocationTeammate,clarify,locationTeammate,confirmRoomTeammate,were,youSaid,nil,said
56,634,32,12,9,570,151,149,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,confirmCarryStabilized,clarifyStatusVictim,clarify,statusVictim,confirmStatusVictim,inflection,thisIs,nil,is
57,634,33,13,9,580,136,125,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,clarifyLocationPriority,askClearLocation,ask,clearLocation,confirmLocation,are,areThere,nil,are
58,634,34,14,10,640,100,96,askInformation,prioritizeCriticalLocation,prioritize,criticalLocation,prioritizeCriticalLocation,clarifyDestinationTeammate,clarify,destinationTeammate,confirmDestinationTeammate,are,areYou,are,get
59,634,35,15,10,650,44,39,initiateCommitment,collaborateCriticalPriority,collaborate,criticalPriority,noticeCriticalRoom,requestBreakRubble,request,breakRubble,breakRubbleRoom,can,canYou,can,break
60,634,36,15,11,700,10,5,askInformation,collaborateLocationVictim,collaborate,locationVictim,searchRoomVictim,askRoomVictim,ask,roomVictim,answerRoomVictim,are,areYou,are,find
61,635,1,0,0,0,984,978,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,shareKnowledgeUnique,askDestination,ask,destination,answerMarkerNavigate,do,doWe,do,want
62,635,2,0,0,0,924,918,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,askDestination,suggestMarkRoom,suggest,markRoom,confirmMarkRoom,if,ifYou,can,mark
63,635,3,0,0,0,848,846,collaborateCommunication,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,suggestMarker,suggest,marker,markStabilized,inflection,thisIs,nil,mark
64,635,4,0,0,0,795,789,initiateCommitment,searchVictim,search,victim,noticeBlockRubble,requestBreakRubble,request,breakRubble,confirmBreakRubble,if,ifYou,mind,rubble
65,635,5,0,0,0,789,782,initiateCommitment,searchVictim,search,victim,noticeBlockRubble,requestBreakRubble,request,breakRubble,confirmBreakRubble,if,ifYou,could,clear
66,635,6,0,0,0,696,691,initiateCommitment,directCarryStabilized,direct,carryStabilized,noAnnotatedCause,directCarryStabilized,direct,carryStabilized,directMarkStabilized,if,ifYou,mind,grab
67,635,7,0,0,0,682,679,askInformation,collaborateCriticalThreatroom,collaborate,criticalThreatroom,noticeCriticalThreatroom,askInformationRoom,ask,informationRoom,answerInformationRoom,did,didYou,did,have
68,635,8,1,0,10,594,592,askInformation,askInformationRoom,ask,informationRoom,noAnnotatedCause,askInformationRoom,ask,informationRoom,answerInformationRoom,are,areYou,are,find
69,635,9,1,0,10,586,584,askInformation,prioritizeClearLocation,prioritize,clearLocation,noAnnotatedCause,askClearRoom,ask,clearRoom,answerInformationRoom,have,haveYou,do,check
70,635,10,1,0,10,559,562,initiateCommitment,noCollaboration,no,collaboration,noticeTeammateTrapped,requestCollaboration,request,collaboration,noCollaboration,can,canTransporter,can,help
71,635,11,1,0,10,560,558,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,noticeTeammateTrapped,clarifyLocation,clarify,location,confirmLocationRoom,can,canYou,can,repeat
72,635,12,1,0,10,535,532,rescueTeammate,collaborateRescueTeammate,collaborate,rescueTeammate,noAnnotatedCause,suggestRescueTeammate,suggest,rescueTeammate,askLocationRoom,inflection,inflection,nil,am
73,635,13,1,0,10,531,528,initiateCommitment,collaborateRescueTeammate,collaborate,rescueTeammate,noticeTeammateTrapped,clarifyRoom,clarify,room,confirmLocationRoom,can,canYou,can,repeat
74,635,14,1,0,10,461,459,initiateCommitment,directTeammate,direct,teammate,noticeDestinationTeammate,clarifyLocationTeammate,clarify,locationTeammate,directTeammate,can,canYou,can,repeat
75,635,15,1,0,10,442,436,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationStabilized,askStabiizedStatus,ask,stabiizedStatus,confirmStabilizedStatus,can,canYou,can,come
76,635,16,2,1,70,358,356,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,askLocationTeammate,ask,locationTeammate,answerLocationTeammate,which,whichRoom,nil,are
77,635,17,2,1,70,280,278,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,trappedTeammate,askDestinationTeammate,ask,destinationTeammate,confirmDestinationTeammate,are,areYou,are,go
78,635,18,2,1,70,271,267,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,noticeDestinationTeammate,requestMarkerStabilized,request,markerStabilized,confirmMarkStabilized,can,canYou,can,leave
79,635,19,2,1,70,241,239,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,request,destination,confirmDestinationTeammate,will,willSomebody,will,join
80,635,20,3,2,130,157,148,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,request,destination,confirmDestinationTeammate,may,maySomebody,may,join
81,635,21,3,2,130,129,124,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationStabilized,clarifyStabilizedStatus,clarify,stabilizedStatus,confirmNotStatus,are,areThe,are,type
82,635,22,3,2,130,91,87,initiateCommitment,rescueTeammateTrapped,rescue,teammateTrapped,rubbleBlockTeammate,requestRescueTeammate,request,rescueTeammate,confirmDestinationRoom,can,canI,can,get
83,635,23,3,2,130,75,72,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilizedVictim,requestStatusVictim,request,statusVictim,markStabilizedVictim,can,canYou,can,type
84,635,24,4,3,190,18,14,askInformation,askLocationTeammate,ask,locationTeammate,noAnnotatedCause,askLocationTeammate,ask,locationTeammate,answerRequestTeammate,what,wantStay,nil,are
85,636,1,0,0,0,966,964,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,suggestNavigationTeam,confirmPlanTeammate,confirm,teammatePlan,suggestCollaborationTeam,what,whatDo,do,think
86,636,2,0,0,0,886,885,initiateCommitment,collaborateCarryVictim,collaborate,carryVictim,suggestCarryVictim,askCarryTeam,ask,teamCarry,confirmCarryVictim,do,doWe,do,agree
87,636,3,0,0,0,874,872,clarifySomething,cordinatePlanTeam,cordinate,teamPlan,noAnnotatedCause,clarifyNavigationTeammate,clarify,navigationTeammate,noAnnotatedEffect,are,inflection,are,start
88,636,4,1,1,20,750,742,initiateCommitment,collaborateCarryVictim,collaborate,carryVictim,noticeLocationVictim,requestCarryVictim,request,carryVictim,confirmCarryVictim,do,doYou,do,want
89,636,5,2,1,70,717,712,clarifySomething,collaborateLocation,collaborate,location,announceLocationStabilized,clarifyLocation,clarify,location,confirmLocation,is,isHallway,nil,is
90,636,6,2,2,120,695,688,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noAnnotatedCause,requestDestination,request,destination,collaborateNavigationTeammate,would,wouldYou,wouldn't,come
91,636,7,2,2,120,685,683,clarifySomething,confirmPlanSelf,confirm,planSelf,noAnnotatedCause,clarifyRequestTeammate,clarify,requestTeammate,noAnnotatedEffect,correct,youMean,mean,continue
92,636,8,2,2,120,673,668,askInformation,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,askLocationVictim,ask,locationVictim,answerLocationVictim,did,didYou,did,see
93,636,9,2,4,220,565,560,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,request,destination,confirmDestinationRoom,can,canYou,can,come
94,636,10,3,4,230,507,504,askInformation,collaborateCriticalThreatroom,collaborate,criticalThreatroom,noticeKnowledgeUnique,askLocationThreatroom,ask,locationThreatroom,confirmRoomVictim,do,doYou,do,have
95,636,11,8,6,380,312,310,initiateCommitment,collaborateNavigationPriority,collaborate,navigationPriority,suggestAvoidThreatroom,askPlanThreatroom,ask,threatroomPlan,confirmAvoidThreatroom,does,doesAnyone,do,agree
96,636,12,8,6,380,294,291,askInformation,breakGPS,break,gPS,noticeKnowledgeUnique,askThreatroom,ask,threatroom,noAnswer,do,doYou,do,have
97,636,13,10,6,400,252,250,askInformation,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationMedic,askInformationTeammate,ask,informationTeammate,requestMarkStabilized,are,areYou,nil,are
98,636,14,10,6,400,247,246,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,notice Medic,requestStatusVictim,request,statusVictim,confirmMarkStabilized,can,canYou,can,type
99,636,15,11,6,410,235,233,initiateCommitment,shareKnowledgeUnique,share,uniqueKnowledge,shareGPSKnowledge,requestInformationRoom,request,informationRoom,clarifyInformationRequest,can,canYou,can,check
100,636,16,11,6,410,226,224,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,noAnnotatedCause,clarifyRoom,clarify,room,confirmInformationRequest,inflection,youSaid,nil,said
101,636,17,13,6,430,199,196,confirmInformation,collaborateInformationSharing,collaborate,informationSharing,noAnnotatedCause,clarifyInformationRequest,clarify,informationRequest,confirmInformationRequest,what,whatYou,were,ask
102,636,18,14,6,440,193,189,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeTeammate,requestCriticalWake,request,criticalWake,clarifyCriticalRoom,can,canYou,can,help
103,636,19,15,6,450,186,184,clarifySomething,collaborateCriticalWake,collaborate,criticalWake,requestCriticalWake,clarifyCriticalRoom,clarify,criticalRoom,confirmDestinationRoom,what,whatRoom,nil,is
104,636,20,15,6,450,160,158,initiateCommitment,collaborateLocationVictim,collaborate,locationVictim,noAnnotatedCause,requestMarker,request,marker,noAnnotatedEffect,can,canYou,can,delete
105,636,21,15,6,450,151,148,askInformation,askInformationRoom,ask,informationRoom,noAnnotatedCause,askInformationRoom,ask,informationRoom,noAnnotatedEffect,do,doYou,do,have
106,636,22,15,6,450,148,146,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,noAnnotatedCause,askInformationLocation,ask,informationLocation,answerInformationRoom,inflection,inflection,nil,nil
107,636,23,15,6,450,135,130,initiateCommitment,collaborateCriticalThreatroom,collaborate,threatroomCritical,noticeThreatroom,requestDestination,request,destination,confirmRequestTeammate,can,canYou,can,come
108,636,24,15,7,500,89,85,clarifySomething,clearRoomRubble,clear,roomRubble,noAnnotatedCause,clarifyBlockedRoom,clarify,blockedRoom,clarifyBlockedRoom,can,canYou,can,repeat
109,636,25,15,7,500,33,31,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,carryLocationVictim,requestDestinationStabilized,request,destinationStabilized,stabilizeLocationVictim,can,canYou,can,check
110,636,26,15,8,550,23,21,askInformation,askLocationPlan,ask,planLocation,noAnnotatedCause,requestCollaborationRubble,request,collaborationRubble,noAnswer,do,doYou,do,have
111,636,27,16,8,560,10,9,askInformation,askKnowledgeUnique,ask,uniqueKnowledge,askDirectionTeammate,askInformationThreatroom,ask,informationThreatroom,answerInformationRoom,do,doYou,do,have
112,637,1,0,0,0,936,934,clarifySomething,coordinatePlanTeam,coordinate,teamPlan,sharingKnowledgeUnique,clarifyInformationRoom,clarify,informationRoom,confirmInformationRoom,correct,youSaid,nil,said
113,637,2,0,0,0,933,932,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,sharingKnowledgeUnique,clarifyInformationRoom,clarify,informationRoom,confirmInformationRoom,was,wasThat,nil,was
114,637,3,0,0,0,927,926,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,sharingKnowledgeUnique,clarifyInformationRoom,clarify,informationRoom,confirmInformationRoom,then,then,nil,object
115,637,4,0,0,0,884,882,clarifySomething,prioritizeLocationVictim,prioritize,locationVictim,sharingKnowledgeUnique,clarifyLocationVictim,clarify,locationVictim,confirmInformationRoom,right,youSaid,nil,said
116,637,5,0,0,0,880,878,clarifySomething,collaborateNavigateTeam,collaborate,teamNavigate,clarifyInformationRoom,clarifyDestinationRoom,clarify,destinationRoom,noAnnotatedEffect,is,okay,nil,is
117,637,6,0,0,0,838,836,initiateCommitment,collaborateRoomVictim,collaborate,roomVictim,noticeRoomVictim,requestBreakRubble,request,breakRubble,noAnnotatedEffect,if,ifYou,could,clear
118,637,7,0,0,0,823,821,confirmInformation,clearLocationVictim,clear,locationVictim,collaborateClearVictim,askClearLocation,ask,clearLocation,confirmClearVictim,correct,lookClear,nil,look
119,637,8,0,1,50,808,806,initiateCommitment,clearLocationVictim,clear,locationVictim,collaborateClearVictim,requestRoomSearch,request,roomSearch,confirmClearVictim,do,doYou,do,want
120,637,9,0,1,50,789,787,clarifySomething,clearLocationVictim,clear,locationVictim,clearRoomVictim,askInformationRoom,ask,informationRoom,answerInformationRoom,is,isStorage,nil,is
121,637,10,1,2,110,708,706,askInformation,clearLocationVictim,clear,locationVictim,noticeCriticalTeammate,askBreakRubble,ask,breakRubble,answerBreakRubbleNo,inflection,anyClear,need,clear
122,637,11,1,2,110,685,683,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestination,request,destination,navigate Room,if,ifYou,want,come
123,637,12,2,3,170,647,645,confirmInformation,clearLocationVictim,clear,locationVictim,collaborateClearLocation,confirmClearLocation,confirm,clearLocation,confirmClearVictim,inflection,inflection,have,clear
124,637,13,2,3,170,625,623,askInformation,answerSelf,answer,self,noticeRubbleRoom,askCriticalRoom,ask,criticalRoom,answerCriticalRoom,is,isThere,nil,is
125,637,14,2,3,170,592,589,clarifySomething,clarifyKnowledgeTeam,clarify,teamKnowledge,noticeStatusVictim,clarifyStatusVictim,clarify,statusVictim,confirmStatusVictim,wouldn't,wouldn'tThat,wouldn't,be
126,637,15,3,4,230,539,538,clarifySomething,collaborateCriticalRoom,collaborate,criticalRoom,noticeCriticalRoom,askRoomTeammate,ask,roomTeammate,navigate Room,which,whichRoom,nil,are
127,637,16,3,4,230,522,524,clearLocation,clearLocationVictim,clear,locationVictim,clearLocationVictim,requestRoomSearch,request,roomSearch,confirmNavigateRoom,will,willYou,will,check
128,637,17,3,4,230,516,514,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,markStabilized,requestCarryStabilized,request,carryStabilized,noAnnotatedEffect,if,ifYou,can,grab
129,637,18,3,4,230,512,511,clarifySomething,clearLocationVictim,clear,locationVictim,confirmNavigateRoom,clarifyRoom,clarify,room,confirmClearRoom,inflection,inflection,nil,nil
130,637,19,3,5,280,407,406,clarifySomething,rescueRoomTeammate,rescue,roomTeammate,noticeTeammateThreatroom,askLocationThreatroom,ask,locationThreatroom,confirmNavigationRoom,which,whichRoom,nil,nil
131,637,20,3,5,280,392,390,clarifySomething,rescueVictim,rescue,victim,noticeCarryTeammate,askStatusVictim,ask,statusVictim,stabilizeVictim,is,isType,are,holding
132,637,21,5,5,300,320,318,clarifySomething,rescueTeammateThreatroom,rescue,teammateThreatroom,confirmNavigationRoom,clarifyTeammateThreatroom,clarify,teammateThreatroom,breakRubbleRoom,which,whichRoom,were,stuck
133,637,22,5,5,300,303,303,clarifySomething,rescueVictim,rescue,victim,noticeStatusVictim,clarifyStatusVictim,clarify,statusVictim,noticeStatusVictim,inflection,isType,nil,nil
134,637,23,5,5,300,303,301,initiateCommitment,rescueVictim,rescue,victim,noticeStatusVictim,requestStabilizeVictim,request,victimStabilize,carryStabilized,could,couldYou,could,stabilize
135,637,24,5,5,300,290,287,clarifySomething,clearLocationVictim,clear,locationVictim,announceClearLocation,clarifyLocation,clarify,location,confirmClearRoom,which,whichArea,am,look
136,637,25,6,5,310,277,275,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeCriticalRoom,requestDestinatiion,request,destinatiion,confirmNavigateRoom,could,couldYou,could,come
137,637,26,6,5,310,272,271,askInformation,answeringSelf,answering,self,trappedThreatroom,askLocationThreatroom,ask,locationThreatroom,answerThreatroom,is,isThis,nil,is
138,637,27,6,5,310,259,257,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,stabilizeThrowVictim,requestCarryDrop,request,carryDrop,informStabilizedStatus,if,ifYou,can,take
139,637,28,6,5,310,254,253,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,confirmStabilizedStatus,confirm,stabilizedStatus,carryStabilized,inflection,inflection,nil,nil
140,637,29,7,5,320,217,215,initiateCommitment,collaborateLocationStabilized,collaborate,stabilizedLocation,announceLocationVictim,requestStabilizeVictim,request,victimStabilize,stabilizeLocationVictim,if,ifYou,can,heal
141,637,30,9,5,340,164,161,initiateCommitment,clearLocationVictim,clear,locationVictim,noticeRoomTeammate,requestBreakRubble,request,breakRubble,answerClearRoom,could,couldYou,could,empty
142,637,31,9,6,390,155,153,clarifySomething,clearLocationVictim,clear,locationVictim,answerClearRoom,clarifyClearRoom,clarify,clearRoom,confirmClearRoom,was,wasThat,nil,were
143,637,32,9,6,390,124,121,clarifySomething,clearLocationVictim,clear,locationVictim,collaborateClearLocation,clarifyClearLocation,clarify,clearLocation,confirmClearLocation,right,clearedOut,nil,clear
